Naslov,Cijena,URL_Proizvoda,URL_Slike,Stanje_Medija,Stanje_Omota,Tip_Artikla
Splat! – Yellow vinyl,55.55,https://menartshop.hr/proizvod/splat-yellow-vinyl/,https://menartshop.hr/app/uploads/2026/07/edb1d94f-d898-4cc5-9473-5a7079e9bebc.png,Novo,Novo,LP
Io CEro – Concerto Live Roma 1976 (50th anniv.180g black vinyl),50.63,https://menartshop.hr/proizvod/io-cero-concerto-live-roma-1976-50th-anniv-180g-black-vinyl/,https://menartshop.hr/app/uploads/2026/07/434b0ab1-05a7-4459-bac2-b00dc2be13a3.png,Novo,Novo,LP
Stati Di Immaginazione (20th anniv.180g black vinyl),30.78,https://menartshop.hr/proizvod/stati-di-immaginazione-20th-anniv-180g-black-vinyl/,https://menartshop.hr/app/uploads/2026/07/0e2bed7a-e8d2-4c69-943b-ec8170adb522.png,Novo,Novo,LP
Run With The Pack – Limited 50th Anniversary 140g Black Vinyl edition,33.25,https://menartshop.hr/proizvod/run-with-the-pack-limited-50th-anniversary-140g-black-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/05578830-6f64-45de-a521-31643ee2b1fc.png,Novo,Novo,LP
Thin Lizzy – Coloured Vinyl,38.00,https://menartshop.hr/proizvod/thin-lizzy-coloured-vinyl/,https://menartshop.hr/app/uploads/2026/07/22b0e721-a603-4aa4-8204-46a6bd9f180b.png,Novo,Novo,LP
Vinyl: The Essentials: Best Of Season 1 (Music From The HBO Original Series),13.25,https://menartshop.hr/proizvod/vinyl-the-essentials-best-of-season-1-music-from-the-hbo-original-series/,https://menartshop.hr/app/uploads/2026/07/3bb514d2-6c43-4fed-a8a0-07145843c20d.png,Novo,Novo,LP
Danger Days: The True Lives Of The Fabulous Killjoys – Limited 2026 Sea Blue Vinyl Deluxe edition,56.55,https://menartshop.hr/proizvod/danger-days-the-true-lives-of-the-fabulous-killjoys-limited-2026-sea-blue-vinyl-deluxe-edition/,https://menartshop.hr/app/uploads/2026/07/e2988ddc-4198-40b8-9926-cb8c0ebd4a8e.png,Novo,Novo,LP
No Reason (Ltd. Edt. Red  Vinyl),27.00,https://menartshop.hr/proizvod/no-reason-ltd-edt-red-vinyl/,https://menartshop.hr/app/uploads/2026/07/14612397-5e89-4338-b135-12219908459e.png,Novo,Novo,LP
Live In Nyc 1979 (Green Vinyl),19.95,https://menartshop.hr/proizvod/live-in-nyc-1979-green-vinyl-2/,https://menartshop.hr/app/uploads/2026/07/6bcb32f8-b935-4dc0-b85d-a1179a8c5fb3.png,Novo,Novo,LP
Placebo RE:CREATED – 30th Anniversary black Vinyl With Bonus White,45.50,https://menartshop.hr/proizvod/placebo-recreated-30th-anniversary-black-vinyl-with-bonus-white/,https://menartshop.hr/app/uploads/2026/07/c6642a95-cd68-40f4-9494-c0032e59c5f5.png,Novo,Novo,LP
Hex Enduction Hour Green – Transparent Green Vinyl edition,44.90,https://menartshop.hr/proizvod/hex-enduction-hour-green-transparent-green-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/e70b84c3-6237-47a7-af57-523f62db7d65.png,Novo,Novo,LP
Ear Bleeding Country (White / Black Splatter Vinyl),43.20,https://menartshop.hr/proizvod/ear-bleeding-country-white-black-splatter-vinyl/,https://menartshop.hr/app/uploads/2026/07/f7985efa-bdf0-46e6-a592-15850cdff044.png,Novo,Novo,LP
Armour Of Angels – Orange Vinyl edition,29.60,https://menartshop.hr/proizvod/armour-of-angels-orange-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/45a03884-b85f-452a-a36a-ff319f4c36a1.png,Novo,Novo,LP
Confessions II – 12 Tracks Translucent Red Vinyl edition,32.40,https://menartshop.hr/proizvod/confessions-ii-12-tracks-translucent-red-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/0ea9fcb1-711d-4ba7-9448-d35aab68ed59.png,Novo,Novo,LP
Confessions II – Limited iMusic Exclusive 12 Tracks Baby Pink Vinyl edition,32.40,https://menartshop.hr/proizvod/confessions-ii-limited-imusic-exclusive-12-tracks-baby-pink-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/32a957b8-7a88-4f03-9f39-256e7b2d96f3.png,Novo,Novo,LP
Confessions II – Amazon Exclusive Yellow Vinyl,32.40,https://menartshop.hr/proizvod/confessions-ii-amazon-exclusive-yellow-vinyl/,https://menartshop.hr/app/uploads/2026/07/1fddde0b-4967-48cf-85a5-7df5e3efcd9b.png,Novo,Novo,LP
Confessions II – Limited iMusic Exclusive 12 Tracks Neon Pink Vinyl edition,32.40,https://menartshop.hr/proizvod/confessions-ii-limited-imusic-exclusive-12-tracks-neon-pink-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/b146a853-5cb8-4c7b-9014-bfdd71799878.png,Novo,Novo,LP
Confessions II – Indie Exclusive 12 Tracks White Vinyl edition,32.40,https://menartshop.hr/proizvod/confessions-ii-indie-exclusive-12-tracks-white-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/4a0d7679-cb98-42fe-ae33-dc20cf622f59.png,Novo,Novo,LP
Garage Inc. (Clear Blue Vinyl),65.70,https://menartshop.hr/proizvod/garage-inc-clear-blue-vinyl-2/,https://menartshop.hr/app/uploads/2026/07/026463f3-ad26-429b-9d3c-e0ed1ba7df83.png,Novo,Novo,LP
Urban Hang Suite (30th anniv.black vinyl),50.63,https://menartshop.hr/proizvod/urban-hang-suite-30th-anniv-black-vinyl/,https://menartshop.hr/app/uploads/2026/07/7eadd9f4-a597-4f77-b017-991b0ca0cb91.png,Novo,Novo,LP
Virtual Insanity (Limited 30th Anniversary Transparent Yellow Vinyl edition),26.81,https://menartshop.hr/proizvod/virtual-insanity-limited-30th-anniversary-transparent-yellow-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/19aa0d21-b812-4f5b-aa1e-210aca2d7741.png,Novo,Novo,LP
All Gates Open (ltd.orange transparent vinyl),67.33,https://menartshop.hr/proizvod/all-gates-open-ltd-orange-transparent-vinyl/,https://menartshop.hr/app/uploads/2026/07/0974c976-9294-462c-87d0-4c581c4f62e3.png,Novo,Novo,LP
Planet Her (5th anniv.ltd.blue translucent vinyl),40.71,https://menartshop.hr/proizvod/planet-her-5th-anniv-ltd-blue-translucent-vinyl/,https://menartshop.hr/app/uploads/2026/07/3002fcea-e680-420d-88bd-5380e3b692c1.png,Novo,Novo,LP
Should I Stay Or Should I Go (ltd.yellow sunshine vinyl) (RSD2026),22.83,https://menartshop.hr/proizvod/should-i-stay-or-should-i-go-ltd-yellow-sunshine-vinyl-rsd2026/,https://menartshop.hr/app/uploads/2026/07/1b5747dd-8e9b-45f8-9fb4-c4e2229627ac.png,Novo,Novo,LP
Songs In A Minor (25th Anniversary orange vinyl),50.63,https://menartshop.hr/proizvod/songs-in-a-minor-25th-anniversary-orange-vinyl/,https://menartshop.hr/app/uploads/2026/07/ea0cba00-9fc4-46b5-9030-d6cab79f48d5.png,Novo,Novo,LP
The Best of Judas Priest (Indie Exclusive Blue Vinyl edition),30.78,https://menartshop.hr/proizvod/the-best-of-judas-priest-indie-exclusive-blue-vinyl-edition/,https://menartshop.hr/app/uploads/2026/07/fa131b4f-3f90-4481-a326-733bda9f1246.png,Novo,Novo,LP
ReLoad (Remastered 2025) (Ltd. Translucent Yellow Vinyl),38.00,https://menartshop.hr/proizvod/reload-remastered-2025-ltd-translucent-yellow-vinyl/,https://menartshop.hr/app/uploads/2026/07/02b1feab-5eb8-41f4-9f62-b1a0366c839f.png,Novo,Novo,LP
Just Dennis (Green Vinyl),47.80,https://menartshop.hr/proizvod/just-dennis-green-vinyl/,https://menartshop.hr/app/uploads/2026/06/a0b5d96d-cb57-4355-8a2b-8b8a8d28ce97.png,Novo,Novo,LP
The Wow! Signal (Amazon – Milky Clear / White Vinyl edition),24.95,https://menartshop.hr/proizvod/the-wow-signal-amazon-milky-clear-white-vinyl-edition/,https://menartshop.hr/app/uploads/2026/06/7ca4194b-ea38-4fff-b148-a86b963a1d1a.png,Novo,Novo,LP
The Wow! Signal (Red Vinyl edition),24.95,https://menartshop.hr/proizvod/the-wow-signal-red-vinyl-edition/,https://menartshop.hr/app/uploads/2026/06/ed34e0d9-323c-4098-b3b6-f8ef2e3ccb98.png,Novo,Novo,LP
Deluxe Norte Dame – Yellow Vinyl edition,24.95,https://menartshop.hr/proizvod/deluxe-norte-dame-yellow-vinyl-edition/,https://menartshop.hr/app/uploads/2026/06/572b9d5b-5561-447a-9a4c-863c3a6b8009.png,Novo,Novo,LP
Beautiful Future (Limited Red Vinyl Reissue edition),24.95,https://menartshop.hr/proizvod/beautiful-future-limited-red-vinyl-reissue-edition/,https://menartshop.hr/app/uploads/2026/06/44cef854-9c55-4221-bc5e-f2810df8976c.png,Novo,Novo,LP
KPop Demon Hunters (Ltd. International Retail Exkl. Light Blue Smoke Vinyl),36.60,https://menartshop.hr/proizvod/kpop-demon-hunters-ltd-international-retail-exkl-light-blue-smoke-vinyl/,https://menartshop.hr/app/uploads/2026/06/e22478b3-71ba-4c57-ae11-bcc7060f69d6.png,Novo,Novo,LP
KPop Demon Hunters (Honmoon Haze Colored Vinyl Anniversary edition),38.00,https://menartshop.hr/proizvod/kpop-demon-hunters-honmoon-haze-colored-vinyl-anniversary-edition/,https://menartshop.hr/app/uploads/2026/06/ac9159ba-a5c8-4fd7-ae06-da9946df987d.png,Novo,Novo,LP
Plum (Violet Vinyl),31.60,https://menartshop.hr/proizvod/plum-violet-vinyl/,https://menartshop.hr/app/uploads/2026/06/23b64404-bb90-4c99-953c-3f67e77199a9.png,Novo,Novo,LP
Bitch – Limited Translucent Red Vinyl,24.95,https://menartshop.hr/proizvod/bitch-limited-translucent-red-vinyl/,https://menartshop.hr/app/uploads/2026/06/8d38dcf9-fd32-4558-a763-ec89a487dfda.png,Novo,Novo,LP
Bitch – Limited Exclusive Black & Red Vinyl edition,29.95,https://menartshop.hr/proizvod/bitch-limited-exclusive-black-red-vinyl-edition/,https://menartshop.hr/app/uploads/2026/06/f6ced07f-1629-4b19-96f0-2f7d30d3efeb.png,Novo,Novo,LP
Kehlani (Indie Exclusive Vinyl),58.20,https://menartshop.hr/proizvod/kehlani-indie-exclusive-vinyl/,https://menartshop.hr/app/uploads/2026/06/868a8fb1-480c-4f02-bc59-147c31e71a81.png,Novo,Novo,LP
The Original High – Limited Clear Smoke Vinyl edition,31.60,https://menartshop.hr/proizvod/the-original-high-limited-clear-smoke-vinyl-edition/,https://menartshop.hr/app/uploads/2026/06/4016983c-44bd-479c-a8ab-0359d0d75958.png,Novo,Novo,LP
Idols II (Clear vinyl),24.50,https://menartshop.hr/proizvod/idols-ii-clear-vinyl/,https://menartshop.hr/app/uploads/2026/06/35369552-04e7-4369-9b9d-0afdfea2f28d.png,Novo,Novo,LP
New World Order  (30th anniv.green vinyl) (RSD 2026),44.68,https://menartshop.hr/proizvod/new-world-order-30th-anniv-green-vinyl-rsd-2026/,https://menartshop.hr/app/uploads/2026/06/73cfa863-9448-48c2-aeae-9eee4e6f3588.png,Novo,Novo,LP
Live In Central Park 1995  (red opaque vinyl) (RSD 2026),38.72,https://menartshop.hr/proizvod/live-in-central-park-1995-red-opaque-vinyl-rsd-2026/,https://menartshop.hr/app/uploads/2026/06/0ea71a52-7bf5-495b-89a0-0a61f9e7efd1.png,Novo,Novo,LP
Tell Me Its Real (10th anniv.ltd.blue ocean vinyl),36.73,https://menartshop.hr/proizvod/tell-me-its-real-10th-anniv-ltd-blue-ocean-vinyl/,https://menartshop.hr/app/uploads/2026/06/8db58da8-2947-4118-ab86-2fcec54615c5.png,Novo,Novo,LP
Ei8ht – Green Vinyl edition,44.90,https://menartshop.hr/proizvod/ei8ht-green-vinyl-edition/,https://menartshop.hr/app/uploads/2026/05/3bcf41e2-d7e2-46df-8eca-fa2882379bda.png,Novo,Novo,LP
Ei8ht – iMusic Exclusive Magenta Vinyl edition,44.90,https://menartshop.hr/proizvod/ei8ht-imusic-exclusive-magenta-vinyl-edition/,https://menartshop.hr/app/uploads/2026/05/0536eaf9-c7c2-4186-8b64-1473a72dd86a.png,Novo,Novo,LP
Echo (White vinyl),33.25,https://menartshop.hr/proizvod/echo-white-vinyl/,https://menartshop.hr/app/uploads/2026/05/31052cc2-6458-4439-a525-2f404cfebb85.png,Novo,Novo,LP
From A Hole In The Floor – Limited Blue & Apricot Vinyl edition,39.25,https://menartshop.hr/proizvod/from-a-hole-in-the-floor-limited-blue-apricot-vinyl-edition/,https://menartshop.hr/app/uploads/2026/05/186a6151-2463-4e0c-9be8-193d4fecdde1.png,Novo,Novo,LP
Train On The Island – Limited Blue Vinyl edition,32.60,https://menartshop.hr/proizvod/train-on-the-island-limited-blue-vinyl-edition/,https://menartshop.hr/app/uploads/2026/05/7acb7e4b-c97c-40d2-b437-3ba68e068dba.png,Novo,Novo,LP
The Complete Peel Sessions – RSD 2026 Silver Vinyl edition,39.25,https://menartshop.hr/proizvod/the-complete-peel-sessions-rsd-2026-silver-vinyl-edition/,https://menartshop.hr/app/uploads/2026/05/4406ae7e-ffa4-4cf6-81cd-ab8b3c5ae00e.png,Novo,Novo,LP
White Pepper – Limited Vinyl,24.85,https://menartshop.hr/proizvod/white-pepper-limited-vinyl/,https://menartshop.hr/app/uploads/2026/05/5d6641f7-fb61-4580-bdea-59694cf0d86c.png,Novo,Novo,LP
